Package name,Version,Dependency type,Import count,Imported in,Can remove
@ajainarayanan/react-pan-zoom,0.0.4,dependency,1,"app",false
@apollo/react-hooks,3.1.3,dependency,2,"app",false
@babel/polyfill,7.0.0,dependency,0,"",true
@bower_components/ace-builds,ajaxorg/ace-builds#^1,dependency,0,"",false
@bower_components/angular,angular/bower-angular#1.4.3,dependency,0,"",false
@bower_components/angular-animate,angular/bower-angular-animate#1.4.3,dependency,0,"",false
@bower_components/angular-bootstrap,angular-ui/bootstrap-bower#1.1.2,dependency,0,"",false
@bower_components/angular-breadcrumb,ncuillery/angular-breadcrumb#0.3.3,dependency,0,"",false
@bower_components/angular-cookies,angular/bower-angular-cookies#1.4.3,dependency,0,"",false
@bower_components/angular-cron-jobs,jacobscarter/angular-cron-jobs#1.4.1,dependency,0,"",false
@bower_components/angular-file-saver,elquimeras/ng-file-saver#1.1.4,dependency,0,"",false
@bower_components/angular-gridster,ManifestWebDesign/angular-gridster#0.13.5,dependency,0,"",false
@bower_components/angular-inview,thenikso/angular-inview#1.5.7,dependency,0,"",false
@bower_components/angular-loading-bar,chieffancypants/angular-loading-bar#0.8.0,dependency,0,"",false
@bower_components/angular-marked,Hypercubed/angular-marked#1.0.1,dependency,0,"",false
@bower_components/angular-mocks,angular/bower-angular-mocks#1.4.3,dependency,0,"",false
@bower_components/angular-moment,urish/angular-moment#0.10.3,dependency,0,"",false
@bower_components/angular-motion,mgcrea/angular-motion#0.4.3,dependency,0,"",false
@bower_components/angular-resource,angular/bower-angular-resource#1.4.3,dependency,0,"",false
@bower_components/angular-sanitize,angular/bower-angular-sanitize#1.4.3,dependency,0,"",false
@bower_components/angular-strap,mgcrea/angular-strap#2.3.10,dependency,0,"",false
@bower_components/angular-ui-ace,angular-ui/ui-ace#bower,dependency,0,"",false
@bower_components/angular-ui-router,angular-ui/angular-ui-router-bower#0.3.0,dependency,0,"",false
@bower_components/blob-polyfill,bjornstar/blob-polyfill#~1.0.20150320,dependency,0,"",false
@bower_components/bootstrap,twbs/bootstrap#3.3.6,dependency,0,"",false
@bower_components/d3,mbostock-bower/d3-bower#3.5.5,dependency,0,"",false
@bower_components/d3-timeline,jiahuang/d3-timeline#0.0.5,dependency,0,"",false
@bower_components/d3-tip,Caged/d3-tip#0.6.7,dependency,0,"",false
@bower_components/dagre,cpettitt/dagre#^0.7.3,dependency,0,"",false
@bower_components/dagre-d3,cpettitt/dagre-d3#0.4.10,dependency,0,"",false
@bower_components/esprima,ariya/esprima#2.0.0,dependency,0,"",false
@bower_components/file-saver,eligrey/FileSaver.js#^2.0.4,dependency,0,"",false
@bower_components/graphlib,cpettitt/graphlib#^1.0.5,dependency,0,"",false
@bower_components/javascript-detect-element-resize,sdecima/javascript-detect-element-resize#~0.5.1,dependency,0,"",false
@bower_components/jquery,jquery/jquery-dist#1.9.1 - 2,dependency,0,"",false
@bower_components/js-beautify,einars/js-beautify#1.6.2,dependency,0,"",false
