Filepath,Is unsed,Directives defined,Directives used in,Unused directives
app/directives/app-level-loading-icon/loading.html,false,"","",""
app/directives/app-level-loading-icon/loading.js,false,"loading-icon","app/cdap/components/AbstractWidget/GetSchemaWidget/index.tsx
app/cdap/components/Replicator/Detail/TopPanel/ActionButtons/ActionButton/index.tsx
app/cdap/components/shared/Tags/index.js
app/directives/app-level-loading-icon/loading.html
app/hydrator/main.js
app/tracker/tracker.html",""
app/directives/app-level-loading-icon/loading.less,false,"","",""
app/directives/cask-angular-confirmable/confirm-modal.html,true,"","",""
app/directives/cask-angular-confirmable/confirmable.js,true,"cask-confirmable","","cask-confirmable"
app/directives/cask-angular-dropdown-text-combo/dropdown-text-combo.html,true,"","",""
app/directives/cask-angular-dropdown-text-combo/dropdown-text-combo.js,true,"cask-dropdown-text-combo","","cask-dropdown-text-combo"
app/directives/cask-angular-dropdown-text-combo/dropdown-text-combo.less,true,"","",""
app/directives/cask-angular-focus/focus-service.js,false,"","",""
app/directives/cask-angular-focus/focus.js,false,"cask-focus","app/directives/cask-angular-focus/focus-service.js
app/directives/cask-angular-password/password.js
app/directives/cask-angular-promptable/prompt.js
app/tracker/controllers/main-ctrl.js
app/tracker/controllers/metadata-ctrl.js
app/directives/cask-angular-password/click2show.html
app/directives/cask-angular-promptable/prompt-modal.html
app/tracker/templates/main.html
app/tracker/templates/metadata.html",""
app/directives/cask-angular-json-edit/jsonedit.js,false,"cask-json-edit","app/directives/widget-container/widget-schema-editor/widget-schema-editor.html",""
app/directives/cask-angular-json-edit/jsonedit.less,false,"","",""
app/directives/cask-angular-password/click2show.html,true,"","",""
app/directives/cask-angular-password/password.js,true,"cask-password","","cask-password"
app/directives/cask-angular-progress/bar.html,true,"","",""
app/directives/cask-angular-progress/progress.js,true,"cask-progress","","cask-progress"
app/directives/cask-angular-promptable/prompt-modal.html,true,"","",""
app/directives/cask-angular-promptable/prompt.js,true,"cask-promptable","","cask-promptable"
app/directives/cask-angular-sortable/sortable.js,true,"cask-sortable","","cask-sortable"
app/directives/cask-angular-sortable/sortable.less,true,"","",""
app/directives/complex-schema/array-schema/array-schema.html,false,"","",""
app/directives/complex-schema/array-schema/array-schema.js,false,"my-array-schema-wrapper
my-array-schema","app/directives/complex-schema/embedded-schema-selector/embedded-schema-selector.html",""
app/directives/complex-schema/complex-schema-helpers.js,false,"","",""
app/directives/complex-schema/complex-schema.html,false,"","",""
app/directives/complex-schema/complex-schema.js,false,"my-record-schema
my-complex-schema","app/directives/complex-schema/complex-schema.html
app/directives/complex-schema/embedded-schema-selector/embedded-schema-selector.html
app/directives/widget-container/widget-complex-schema-editor/widget-complex-schema-editor.js
app/directives/plugin-functions/functions/get-schema/get-schema-modal.html
app/directives/plugin-functions/functions/output-schema/output-schema-modal.html
app/directives/widget-container/widget-complex-schema-editor/widget-complex-schema-editor.html
app/directives/widget-container/widget-input-schema/widget-input-schema.html
app/directives/widget-container/widget-output-schema/widget-output-schema.html
app/tracker/templates/metadata.html",""
app/directives/complex-schema/complex-schema.less,false,"","",""
app/directives/complex-schema/embedded-schema-selector/embedded-schema-selector.html,false,"","",""
app/directives/complex-schema/embedded-schema-selector/embedded-schema-selector.js,false,"my-embedded-schema-selector","app/directives/complex-schema/array-schema/array-schema.html
app/directives/complex-schema/complex-schema.html
app/directives/complex-schema/map-schema/map-schema.html
app/directives/complex-schema/union-schema/union-schema.html",""
